| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.25    0.64   13.87 v _5922_/Y (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1777_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.25    0.00   13.87 v _5924_/A3 (sky130_fd_sc_hd__a311oi_1)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.82    1.17   15.04 ^ _5924_/Y (sky130_fd_sc_hd__a311oi_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1779_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.82    0.00   15.04 ^ place590/A (sky130_fd_sc_hd__buf_4)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.11    0.68   15.72 ^ place590/X (sky130_fd_sc_hd__buf_4)
| INFO     | job0 | place.detailed       | 0 |                                          net590 (net)
| INFO     | job0 | place.detailed       | 0 |                   0.11    0.00   15.72 ^ _5927_/A3 (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.30    0.32   16.04 v _5927_/Y (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1782_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.30    0.00   16.04 v _5929_/A3 (sky130_fd_sc_hd__a311oi_2)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.84    1.28   17.32 ^ _5929_/Y (sky130_fd_sc_hd__a311oi_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1784_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.84    0.00   17.32 ^ _5932_/A3 (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    0.29    0.66   17.97 v _5932_/Y (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1787_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.29    0.00   17.97 v _5934_/A3 (sky130_fd_sc_hd__a311oi_2)
| INFO     | job0 | place.detailed       | 0 |      3    0.01    1.03    1.43   19.40 ^ _5934_/Y (sky130_fd_sc_hd__a311oi_2)
| INFO     | job0 | place.detailed       | 0 |                                          _1789_ (net)
| INFO     | job0 | place.detailed       | 0 |                   1.03    0.00   19.40 ^ _5937_/A3 (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |      2    0.01    0.22    0.67   20.07 v _5937_/Y (sky130_fd_sc_hd__o311ai_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1792_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.22    0.00   20.07 v _5939_/A3 (sky130_fd_sc_hd__a311oi_1)
| INFO     | job0 | place.detailed       | 0 |      1    0.00    0.81    1.15   21.22 ^ _5939_/Y (sky130_fd_sc_hd__a311oi_1)
| INFO     | job0 | place.detailed       | 0 |                                          _1794_ (net)
| INFO     | job0 | place.detailed       | 0 |                   0.81    0.00   21.22 ^ place572/A (sky130_fd_sc_hd__buf_4)
